no_of_client,avg_response_time,overall_throughput
1,1.666667,.375000
2,1.833333,.708333
3,3.111111,.717781
4,4.166666,.768451
5,5.000000,.823493
6,5.470588,.790765
7,5.631578,.834666
8,5.904761,.821407
9,5.409091,.894521
10,6.681818,.945973
11,6.260869,.882672
12,6.799999,.942034
13,7.034482,1.072073
14,7.583333,.915357
15,6.318181,.921349
16,7.407407,.955588
17,7.344827,1.005433
18,6.652173,.895193
19,5.800000,1.053324
20,5.363636,.938409
21,6.888888,1.022847
22,10.999999,.936186
23,6.379310,.914898
24,6.777777,.898796
25,5.954545,.884699
26,6.086956,.940261
27,7.333333,.909381
28,6.171428,1.120757
29,12.433333,1.091687
30,6.518518,.880832
