$numOfClient,$avgResponseTime,$overall_throughput,$overall_request_rate,$overall_error_rate,$overall_timeout_rate,$request_rate_sent,$active_threads,$cpu_utilization
1,1.00,.50,.50,0,0,.50,1.42,2.94
2,1.33,.84,.84,0,0,.84,12.00,14.54
3,1.33,1.26,1.26,0,0,1.26,12.00,20.06
4,1.33,1.68,1.68,0,0,1.68,12.00,20.47
5,1.66,1.85,1.85,0,0,1.85,12.00,29.08
6,2.00,1.98,1.98,0,0,1.98,12.00,37.74
7,2.33,2.10,2.10,0,0,2.10,12.00,29.65
8,2.33,2.40,2.40,0,0,2.40,12.00,33.89
9,2.66,2.43,2.43,0,0,2.43,12.00,33.69
10,3.75,1.97,2.50,0,.48,2.45,12.00,33.48
11,4.19,1.94,2.63,0,.63,2.57,12.00,30.84
12,4.41,2.04,2.60,0,.52,2.56,12.00,36.31
13,4.34,2.28,2.81,0,.49,2.77,12.00,35.80
14,4.31,2.48,3.00,0,.49,2.97,12.00,38.83
15,4.04,2.89,3.21,0,.28,3.17,12.00,39.43
16,3.95,3.12,3.54,0,.38,3.50,12.00,43.56
17,4.88,2.71,3.15,0,.39,3.10,12.00,38.24
18,4.97,2.82,3.40,0,.53,3.35,12.00,39.19
19,8.15,1.75,3.21,0,1.39,3.14,12.00,44.41
20,6.15,2.43,3.33,0,.85,3.28,12.00,40.70
